,places/Abandoned_mine_shaft.txt,places/Biome.txt,places/biomes.txt,places/Cavern.txt,places/Desert_temple.txt,places/Dungeon.txt,places/dungeons.txt,places/Generated_Structures.txt,places/huge-mushroom.txt,places/Huge_mushroom.txt,places/Huge_Mushrooms.txt,places/Jungle_temple.txt,places/Moss_Stone_Boulder.txt,places/Nether_fortress.txt,places/Nether_Portal.txt,places/Obsidian_pillar.txt,places/Ocean_monument.txt,places/Ocean_monument_structure.txt,places/Stronghold.txt,places/The_End.txt,places/The_Nether.txt,places/The_Overworld.txt,places/The_Void.txt,places/Tree.txt,places/Village.txt,places/Village_structures.txt
direct,0.003619361534194835,0.0,0.0,0.0014020710858803176,0.0,0.0,0.0,0.000915898821018391,0.0,0.0,0.0,0.0,0.0,0.0,0.0009152408477274294,0.0,0.0,0.00334094910848754,0.0,0.002370996141507286,0.002396767838697583,0.004356435159699558,0.0,0.0007598500556878221,0.0,0.0
although,0.0023448454863872104,0.0007206509993087584,0.000744932862101352,0.0009083480680942385,0.0,0.0015632303242581404,0.0,0.0004450317817442297,0.0,0.0,0.0,0.0,0.0,0.0009450980281011046,0.00029647471666964726,0.013312671148520937,0.0,0.0,0.0006810112303698828,0.001536077440213954,0.0010351826227528822,0.0,0.0,0.001230694251304619,0.0,0.0
sometim,0.007876672506363015,0.0,0.00083411213063772,0.00305127152117364,0.0,0.0,0.0,0.0023254398580971085,0.0069084436600659,0.0,0.0025577386736529346,0.0,0.0,0.0010582399703205272,0.00033196704049805805,0.0,0.0,0.0,0.0007625381524311829,0.0,0.0005795544987959409,0.0,0.0,0.000826815722337907,0.0008422201464883903,0.0
way,0.0023448454863872104,0.0,0.001489865724202704,0.004087566306424073,0.0024861012385792108,0.0015632303242581404,0.004952313667249788,0.001335095345232689,0.0,0.0,0.004568555043588365,0.008199194813327464,0.0,0.0,0.002371797733357178,0.0,0.0,0.0,0.0,0.002304116160320931,0.0031055478682586466,0.0,0.0,0.0009845554010436955,0.0,0.0
five,0.004970402988508215,0.0,0.0,0.0,0.0,0.00331360199233881,0.0,0.0,0.0,0.004896217869276749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005774197531204262,0.0065120912603780085,0.0,0.0,0.0,0.0005217440910402261,0.0,0.0
entranc,0.003619361534194835,0.0,0.0,0.0070103554294015874,0.0,0.0024129076894632232,0.0,0.000915898821018391,0.0,0.0,0.0,0.0,0.0,0.0014587960992785288,0.0,0.0,0.0032280792061737716,0.00167047455424377,0.01261401247560972,0.0,0.0,0.0,0.0,0.0,0.0011610102612727052,0.0
block,0.0001485633073987929,0.0003196100024132355,0.0005663640888560481,0.00046040455645818143,0.0006300516169201819,0.0004952110246626431,0.00012550628209050027,0.0003195552952819471,0.0014333150986248992,0.0014634594460179598,0.0010130811515607723,0.0005194796444143222,0.0,0.00011975790275811093,0.0011645997200686986,0.0016869123936895196,0.00039750722790487836,0.00013713536067580883,0.0005609122893208551,0.00034062654103346067,0.0006886580068719965,0.0011921189408292197,0.0005839312132002183,0.0012631720737239713,0.0005242136630450724,0.0
support,0.008929204517739745,0.0013721245591870152,0.0,0.0008647505475727412,0.0,0.0,0.0,0.0005648957566938156,0.0,0.0,0.0,0.0,0.0,0.00359894655371495,0.0005644899407766504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009373001958979293,0.0,0.0
made,0.0008089928041593148,0.0,0.0010280341771266384,0.0003133882616259121,0.0,0.0016179856083186296,0.0003417185604768946,0.000767699857289932,0.0007095485059736183,0.0,0.0007880963110629487,0.0,0.006281591185237032,0.0006521346573986537,0.0,0.0022964957021296677,0.0007215341226285781,0.0037338129422737607,0.0018796400466275828,0.00026498027332265395,0.00017857366245657114,0.001298322798164493,0.0005299605466453079,0.0002547603582084204,0.001816547633154816,0.0
wood,0.004970402988508215,0.0,0.0,0.0,0.0,0.0,0.0,0.00220112741978509,0.0,0.0,0.004842016195447117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014435493828010655,0.0,0.0,0.0,0.0,0.014608834549126332,0.0031887883085447597,0.0
complementari,0.009715717263111882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
torch,0.0040184543965350854,0.0,0.0012766208913180055,0.005448351962433483,0.0,0.0,0.0050921854112892595,0.0005084457036593638,0.0,0.0,0.0,0.0,0.0,0.0,0.0005080804409412177,0.0,0.0,0.0,0.007002455186041337,0.0,0.0,0.0,0.0,0.0004218178770120328,0.0,0.0
broken,0.004970402988508215,0.0,0.0,0.0009627192875760592,0.0,0.0,0.0,0.0012577870970200515,0.0,0.0,0.004842016195447117,0.0,0.0,0.006010013995264895,0.001885325271503116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rail,0.014180319521981753,0.0,0.0,0.0,0.0,0.0,0.0,0.0008971014507076882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020591883134230926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
minecart,0.014180319521981753,0.0,0.0,0.0,0.0,0.0,0.0,0.0008971014507076882,0.0,0.0,0.0,0.0,0.0,0.0,0.005378741887648251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chest,0.018378902514847036,0.0,0.0,0.0,0.01113489446682643,0.03325706169353273,0.019962638800126425,0.005979702492249707,0.0,0.0,0.0,0.03672302943363948,0.0,0.0052911998516026355,0.00033196704049805805,0.0,0.0,0.0,0.011438072286467742,0.0008599840949875252,0.0,0.0,0.0,0.0002756052407793023,0.0008422201464883903,0.0
contain,0.0027857937888281616,0.0,0.0,0.0029676981521485624,0.004430419037654426,0.0018571958592187745,0.008237035074807109,0.0029960801639733504,0.0,0.0,0.0,0.004870526889077051,0.0,0.001122823756107839,0.00017611340044315963,0.0,0.007453880678215893,0.0019286264691887275,0.00566352796672656,0.0013687026555532903,0.0006149243814804637,0.001117704498861147,0.0,0.0004386379086981917,0.0008936203648245864,0.0
resourc,0.00624491903631584,0.0,0.0,0.0012095807964690988,0.0,0.0,0.0,0.0,0.0,0.0,0.006083611164529083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002505560221257419,0.0,0.0,0.0,0.0
spider,0.00994080597701643,0.0,0.0015790449927390719,0.0,0.0,0.00662720398467762,0.00419899644469174,0.0012577870970200515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005982612715651225,0.0,0.0,0.0,0.0
spawner,0.008036908793070171,0.0,0.0012766208913180055,0.0,0.0,0.02678969597690057,0.025460927056446304,0.0027964513701265008,0.0,0.0,0.0,0.0,0.0,0.0048589555451233404,0.0,0.0,0.0,0.0,0.0023341517286804454,0.0,0.0017740333790723455,0.0,0.0,0.0,0.0,0.0
